wl,mean,std,lake
412.0,4.5026939317375865,0.016975678222006848,bea
440.0,3.1438140203900713,0.016216217461399254,bea
488.0,2.086361954540978,0.014910843180943266,bea
510.0,1.806651993449567,0.013662961619169965,bea
532.0,1.586792275413712,0.013072959453300505,bea
555.0,1.421585855988968,0.01281541567397868,bea
650.0,1.1371426201733654,0.012114334141566622,bea
676.0,1.1186333695330968,0.011768320369353364,bea
715.0,1.0385326403664303,0.0103214298882103,bea
412.0,5.627561775498097,0.24146118450956944,ch6
440.0,3.8972679475836816,0.19582245374631,ch6
488.0,2.5411188456734344,0.15654627252010034,ch6
510.0,2.1116078847314106,0.13645999302031087,ch6
532.0,1.8340174162958385,0.12375574586742155,ch6
555.0,1.7149924311486255,0.1185064689200774,ch6
650.0,1.3279611968566585,0.09951118499883094,ch6
676.0,1.2551965919200343,0.09778653773251464,ch6
715.0,1.1955402900990684,0.08988280039453413,ch6
412.0,4.077723498782493,0.0284370248251005,dor
440.0,3.1171466463078854,0.026006691142647143,dor
488.0,2.3400990099799004,0.023610353604279998,dor
510.0,2.1484323125873748,0.02270011825862656,dor
532.0,2.0025374449328104,0.021321176022059067,dor
555.0,1.8902595494477124,0.02068961711253781,dor
650.0,1.6962074966717504,0.01827028366752388,dor
676.0,1.6906151594595415,0.01761328632890488,dor
715.0,1.6036282402217488,0.01593961347758266,dor
412.0,20.493455185809907,0.3288383531036969,egg
440.0,12.52479120282804,0.06764403554991884,egg
488.0,6.4092137430665765,0.033163423006305176,egg
510.0,4.9504695206768154,0.03066164171776273,egg
532.0,3.832233832007344,0.0300743563325448,egg
555.0,2.9662487726994167,0.04697063037750821,egg
650.0,1.298349772158954,0.020159549207816336,egg
676.0,1.1785802715615423,0.027296455944159383,egg
715.0,0.8284174645594881,0.017751200088736506,egg
412.0,7.912074103729012,0.2628150663338395,flt
440.0,5.748197747679582,0.0971726858998456,flt
488.0,4.0506449799067035,0.07285651643200378,flt
510.0,3.5411824540304835,0.07298246906327932,flt
532.0,3.2074827150398826,0.07189129172161651,flt
555.0,3.044289712019955,0.0866167686152195,flt
650.0,2.578951033083808,0.07903351239743736,flt
676.0,2.463116846734416,0.0779540213473132,flt
715.0,2.3722665593614467,0.07834205678184014,flt
412.0,3.1075103008502287,0.04005032935215516,gst
440.0,2.5393568238689674,0.03551364913455258,gst
488.0,2.0220880214168586,0.03034123784497936,gst
510.0,1.8857206061079996,0.028647286605041893,gst
532.0,1.7669995513312688,0.02682105329900131,gst
555.0,1.6751842300783877,0.02505029695565071,gst
650.0,1.492818805177202,0.02159172895239381,gst
676.0,1.488036624392186,0.020837457549330796,gst
715.0,1.3893472600970616,0.0173402668455726,gst
412.0,10.907795826496603,0.026665748349098725,lim
440.0,7.758275434880813,0.020842786313444425,lim
488.0,5.1400820123409305,0.016677763168574184,lim
510.0,4.3913055639683,0.016368755854147547,lim
532.0,3.783539170973295,0.014515114248579344,lim
555.0,3.3228603049455177,0.01435862307663694,lim
650.0,2.307396462170425,0.011938265476584014,lim
676.0,2.234678686253631,0.011790018758084749,lim
715.0,1.875294671246829,0.010801969751921029,lim
412.0,8.917563076144898,0.032264884795245405,lit
440.0,6.8107981477726565,0.02744230244956065,lit
488.0,4.6869454305802405,0.022871848296693174,lit
510.0,4.07742527434948,0.020954169689281425,lit
532.0,3.5706260044159808,0.01868003486031956,lit
555.0,3.182343111112088,0.017806213033986062,lit
650.0,2.639275074376748,0.01463520279453166,lit
676.0,2.903281565386443,0.015713619600627404,lit
715.0,2.222830808775664,0.012484076797073907,lit
412.0,24.77186348956863,0.09031752618635368,rat
440.0,16.15049739347143,0.026916226735818047,rat
488.0,9.627009736067187,0.02271849921926571,rat
510.0,7.855180255750342,0.021222533264545297,rat
532.0,6.487523116885863,0.020145214653723542,rat
555.0,5.471856658787129,0.02130290135090439,rat
650.0,3.3661411651421886,0.019385161066598558,rat
676.0,3.122959226681897,0.02053266749512975,rat
715.0,2.703808846366332,0.0213372083555388,rat
412.0,13.248516882348074,0.1094076535633863,rob
440.0,9.186862391246985,0.11796627402292725,rob
488.0,5.952625178373307,0.12114541742797375,rob
510.0,5.065446659340402,0.11170070776209848,rob
532.0,4.370537852131412,0.10521477348254824,rob
555.0,3.8515628459405753,0.1194763616933726,rob
650.0,3.0363930243914417,0.11744218899340285,rob
676.0,3.0529965923600684,0.1210502977414121,rob
715.0,2.658931320441916,0.12139422880536635,rob
412.0,8.772089571686747,0.02075122441852108,roc
440.0,5.195101976116134,0.01593692581659884,roc
488.0,2.6240048465461854,0.013054691392593055,roc
510.0,2.0328210198025443,0.012030849248405608,roc
532.0,1.591069563139223,0.01096504598648565,roc
555.0,1.2584508274648591,0.010288059426867191,roc
650.0,0.6536871816181389,0.008618858239741463,roc
676.0,0.6132880752359436,0.008706452925894744,roc
715.0,0.488424807740964,0.0073195802645074845,roc
412.0,4.550107657324894,0.02623363966615119,thi
440.0,3.034899439688867,0.021323153795293655,thi
488.0,1.859397612179488,0.01887330298103989,thi
510.0,1.5512441162445274,0.01722440519892029,thi
532.0,1.3117894600140714,0.016557457338673382,thi
555.0,1.1213298254768618,0.015420252462391353,thi
650.0,0.8090383872732955,0.01395182095035921,thi
676.0,0.8095124278846161,0.01583598947763526,thi
715.0,0.6923110842714191,0.011569973558402164,thi
